deg,E_kWh
-24,1.2912320288250156
-22,1.3076897150198021
-20,1.323134206842637
-18,1.3375724211977336
-16,1.3509834928437858
-14,1.3633685821286574
-12,1.375352324165166
-10,1.3865216770308766
-8,1.3965345683636974
-6,1.4055315951699567
-4,1.4136347735100372
-2,1.4204499250383313
0,1.425973826449033
2,1.4302533422610715
4,1.4334748506947772
6,1.435641256364672
8,1.4367553571185394
10,1.4368198101341911
12,1.4364120909043137
14,1.4351440557775392
16,1.4329415066440274
18,1.4309570187861536
20,1.4282048952519457
22,1.4246857898937129
24,1.4204019472307452
