deg,E_kWh
-24,1.6180740048730944
-22,1.6287589812891845
-20,1.638513344842308
-18,1.6473419780376244
-16,1.6560686930539172
-14,1.6641920971930013
-12,1.6722138123396435
-10,1.6831411585245128
-8,1.6930764361637034
-6,1.7017790516491387
-4,1.709244483110676
-2,1.7155573975935545
0,1.720620055799161
2,1.724693937127046
4,1.7276206505710392
6,1.7293212469262536
8,1.7299894327737542
10,1.7297593198344603
12,1.728327269252653
14,1.7258384200213928
16,1.7226967757241842
18,1.7191105173904406
20,1.7145801409500077
22,1.7100708159083207
24,1.7051709711992793
