deg,E_kWh
-24,1.7169065900156046
-22,1.7325237809909677
-20,1.746867845194822
-18,1.7599470520180331
-16,1.7717695375654863
-14,1.7901084298622416
-12,1.8113815314782955
-10,1.8320569049728834
-8,1.8510086164702917
-6,1.8682739784451892
-4,1.8841815374410127
-2,1.898167531543729
0,1.910229824324409
2,1.9197156525587027
4,1.9275944481922074
6,1.9341339468750878
8,1.9393000803307128
10,1.9430476000490522
12,1.9453785519608706
14,1.946295617429435
16,1.9467459587644944
18,1.946180688747428
20,1.944844319946645
22,1.9435572964218986
24,1.941369690082271
