deg,E_kWh
-24,0.5638714253470138
-22,0.566574189200453
-20,0.5690241992960698
-18,0.571218135689304
-16,0.5731645159039485
-14,0.5751285554116491
-12,0.5767654019767982
-10,0.5780757908302566
-8,0.579054124860774
-6,0.5797423004338841
-4,0.5801799349129861
-2,0.5802074152815822
0,0.5798248802042553
2,0.5794058116452242
4,0.5786251219320551
6,0.57798544497684
8,0.5773303627507949
10,0.5763411033687118
12,0.575018788735099
14,0.5739226301043844
16,0.5726774942271964
18,0.5711322817349944
20,0.5692885748350878
22,0.567148244362121
24,0.5650978163304414
