deg,E_kWh
-24,1.3528881036463116
-22,1.3697769828769288
-20,1.3855972627276845
-18,1.4003236840944673
-16,1.4139588400083243
-14,1.426506010585465
-12,1.4383376786680437
-10,1.4495689732219383
-8,1.4595849391557105
-6,1.4685784028056654
-4,1.4765747838971526
-2,1.4832230817805503
0,1.4885248154974433
2,1.4924615576692688
4,1.495281303567284
6,1.4970177867249777
8,1.497674770721283
10,1.4972557563511977
12,1.496043331938387
14,1.494282422567932
16,1.491587399020451
18,1.4888623287931873
20,1.4855658080380927
22,1.4814993445768283
24,1.4766653190396575
