deg,E_kWh
-24,1.9102095134340542
-22,1.9261286446642938
-20,1.9421128923344084
-18,1.9584689496244223
-16,1.973502823129604
-14,1.9871499576953215
-12,1.9994273605328292
-10,2.010352558976681
-8,2.0199401810137623
-6,2.0408809043388016
-4,2.0607973591667124
-2,2.078802382773147
0,2.0948682848011058
2,2.10899935591348
4,2.121513676416219
6,2.1323006933330535
8,2.141355280876915
10,2.148673856929301
12,2.1542589261570266
14,2.159026079404029
16,2.1631795681646584
18,2.1659265215401255
20,2.16723734917626
22,2.166589067517531
24,2.164033033169323
