deg,E_kWh
-24,2.1745081829125263
-22,2.1942945593986396
-20,2.2162801301708392
-18,2.236743378520744
-16,2.255474452033118
-14,2.2724869326143664
-12,2.287794032282957
-10,2.3014083997159864
-8,2.3189816014333458
-6,2.344246437378569
-4,2.367600970446335
-2,2.3885837338654903
0,2.407170652959864
2,2.4234315359700385
4,2.4375781715650193
6,2.4496020204968336
8,2.459496777349252
10,2.4672576845957708
12,2.4738859947125262
14,2.4795595015538767
16,2.4834447080241704
18,2.4855418423197766
20,2.485851564551501
22,2.4843118747637707
24,2.4798484082126424
