deg,E_kWh
-24,2.0492145269803013
-22,2.0663326055781552
-20,2.0851444411939926
-18,2.102850957901342
-16,2.118997774179854
-14,2.13360256202363
-12,2.146682173822568
-10,2.1582524549610187
-8,2.1802698341698865
-6,2.2020571841356023
-4,2.2221408556376145
-2,2.24009173196157
0,2.255897958298236
2,2.2697624449837623
4,2.281741087818479
6,2.2918296802558245
8,2.300024922717795
10,2.3063239584531483
12,2.3113428530263964
14,2.3158101295014277
16,2.318684125482781
18,2.3199641652823813
20,2.3195425573845516
22,2.316508268989921
24,2.3122932466537454
