deg,E_kWh
-24,1.9254150719374765
-22,1.9438832544342115
-20,1.9637086811381428
-18,1.9820294546355037
-16,1.998852503394145
-14,2.014184995666275
-12,2.0280341483815967
-10,2.0404070562721985
-8,2.051310539099346
-6,2.0617124773853184
-4,2.070576207308818
-2,2.077644594319893
0,2.082922164306925
2,2.086531301585501
4,2.088610550697763
6,2.0891608641280857
8,2.0881820786335967
10,2.0859401055398767
12,2.083717627471802
14,2.08026135117954
16,2.075568089421041
18,2.0696338269042345
20,2.0624537655637014
22,2.054022382411926
24,2.0460086727409466
