deg,E_kWh
-24,1.8824580728022857
-22,1.892636981705511
-20,1.9022867167769055
-18,1.9169647705818125
-16,1.9350991044988655
-14,1.9518023132682731
-12,1.9670718090696337
-10,1.9809077639309942
-8,1.993841554936032
-6,2.0053874855016924
-4,2.015438806336889
-2,2.024072840034419
0,2.0309671898923525
2,2.0359754434859823
4,2.039525549243104
6,2.0417820808343627
8,2.042677306830627
10,2.0422111946938672
12,2.0408828414282123
14,2.038745169449704
16,2.035663781532516
18,2.032253598346736
20,2.027820928856682
22,2.0224091247574023
24,2.016208627813871
