deg,E_kWh
-24,1.4865028874183737
-22,1.5020191289279523
-20,1.5164099475037909
-18,1.529683251958277
-16,1.5418472095673361
-14,1.5529101050277219
-12,1.5628802091209049
-10,1.5718271846218559
-8,1.5829919266236827
-6,1.6049104986553735
-4,1.6251256083314074
-2,1.6435842746055078
0,1.660258613385195
2,1.6754506958019786
4,1.6890320080407735
6,1.70104987177889
8,1.7115033208010317
10,1.7203929903054582
12,1.7277217024603233
14,1.7334940362895372
16,1.7379296039683618
18,1.7412091318465823
20,1.7438963460976429
22,1.7455269453985622
24,1.746156094608065
