deg,E_kWh
-24,2.019059434734474
-22,2.0326037834195243
-20,2.045696132540415
-18,2.060950304545919
-16,2.0819050744906207
-14,2.101252101260052
-12,2.1189923064367386
-10,2.135129617703873
-8,2.1500780705582305
-6,2.1635413259164333
-4,2.1753938023265205
-2,2.185627091549848
0,2.193990793616197
2,2.2001611848078535
4,2.204801032713402
6,2.2080297954233457
8,2.209800687623541
10,2.2101102752027226
12,2.209337473662287
14,2.2076823317957643
16,2.2051648623785907
18,2.20208763063525
20,2.1979852177777803
22,2.1927962108674977
24,2.186654293762412
