deg,E_kWh
-24,1.3473486771655252
-22,1.3597400834676425
-20,1.3711574086776055
-18,1.381615158240932
-16,1.3911275396146126
-14,1.3997083183454064
-12,1.4073706850975078
-10,1.4151059501150631
-8,1.433911165103065
-6,1.4514652690111844
-4,1.4677529402810097
-2,1.4824669407119895
0,1.4955998067767462
2,1.5074159663119735
4,1.5177670218074588
6,1.5267667583276379
8,1.5344046441687451
10,1.5406880493335184
12,1.5454777047448396
14,1.548304783384227
16,1.550481024812353
18,1.5518143536919633
20,1.552821642125688
22,1.5532590206636567
24,1.5527869417667555
