feature,spearman_rho
capex_$perkWac,0.6853060940836336
wacc_real,0.5323896013436078
fixed_om_$perkWac_yr,0.4180708809833023
lifetime_y,-0.15071502003292614
degradation_%,0.13691529589643292
availability_%,-0.040767335851082616
y0_net_mwh,-0.040767335851082616
