time_utc,ghi_wm2,temp_air_c,wind_speed_ms,rel_humidity_pct,pressure_pa,albedo,ts_utc,ts_local,date_local,year_local,month_local,day_local,hour_local
2024-06-30 22:00,0.0,15.96,4.53,42.18,9164.0,-999.0,2024-06-30 22:00:00+00:00,2024-07-01 00:00:00+02:00,2024-07-01,2024,7,1,0
2024-06-30 23:00,0.0,15.07,4.04,44.91,9163.0,-999.0,2024-06-30 23:00:00+00:00,2024-07-01 01:00:00+02:00,2024-07-01,2024,7,1,1
2024-07-01 00:00,0.0,14.24,3.24,47.38,9163.0,-999.0,2024-07-01 00:00:00+00:00,2024-07-01 02:00:00+02:00,2024-07-01,2024,7,1,2
2024-07-01 01:00,0.0,13.26,2.18,50.4,9163.0,-999.0,2024-07-01 01:00:00+00:00,2024-07-01 03:00:00+02:00,2024-07-01,2024,7,1,3
2024-07-01 02:00,0.0,12.34,1.75,53.33,9163.0,-999.0,2024-07-01 02:00:00+00:00,2024-07-01 04:00:00+02:00,2024-07-01,2024,7,1,4
2024-07-01 03:00,0.0,11.67,1.67,55.43,9165.0,-999.0,2024-07-01 03:00:00+00:00,2024-07-01 05:00:00+02:00,2024-07-01,2024,7,1,5
2024-07-01 04:00,0.0,11.02,1.91,57.77,9167.0,-999.0,2024-07-01 04:00:00+00:00,2024-07-01 06:00:00+02:00,2024-07-01,2024,7,1,6
2024-07-01 05:00,0.0,10.34,2.39,60.26,9173.0,-999.0,2024-07-01 05:00:00+00:00,2024-07-01 07:00:00+02:00,2024-07-01,2024,7,1,7
2024-07-01 06:00,6.82,10.08,3.08,60.75,9178.0,0.24,2024-07-01 06:00:00+00:00,2024-07-01 08:00:00+02:00,2024-07-01,2024,7,1,8
2024-07-01 07:00,86.72,11.72,4.66,53.64,9181.0,0.23,2024-07-01 07:00:00+00:00,2024-07-01 09:00:00+02:00,2024-07-01,2024,7,1,9
2024-07-01 08:00,201.88,14.55,5.53,43.35,9183.0,0.18,2024-07-01 08:00:00+00:00,2024-07-01 10:00:00+02:00,2024-07-01,2024,7,1,10
2024-07-01 09:00,314.1,17.53,6.83,35.17,9182.0,0.19,2024-07-01 09:00:00+00:00,2024-07-01 11:00:00+02:00,2024-07-01,2024,7,1,11
2024-07-01 10:00,392.92,20.21,8.21,29.49,9177.0,0.19,2024-07-01 10:00:00+00:00,2024-07-01 12:00:00+02:00,2024-07-01,2024,7,1,12
2024-07-01 11:00,413.62,22.28,9.24,26.11,9170.0,0.19,2024-07-01 11:00:00+00:00,2024-07-01 13:00:00+02:00,2024-07-01,2024,7,1,13
2024-07-01 12:00,371.85,23.64,9.56,24.38,9162.0,0.19,2024-07-01 12:00:00+00:00,2024-07-01 14:00:00+02:00,2024-07-01,2024,7,1,14
2024-07-01 13:00,175.88,24.38,9.2,23.45,9157.0,0.2,2024-07-01 13:00:00+00:00,2024-07-01 15:00:00+02:00,2024-07-01,2024,7,1,15
2024-07-01 14:00,182.55,24.42,8.47,23.24,9154.0,0.2,2024-07-01 14:00:00+00:00,2024-07-01 16:00:00+02:00,2024-07-01,2024,7,1,16
2024-07-01 15:00,98.85,23.62,6.78,23.99,9154.0,0.21,2024-07-01 15:00:00+00:00,2024-07-01 17:00:00+02:00,2024-07-01,2024,7,1,17
2024-07-01 16:00,16.02,19.69,3.44,29.94,9159.0,0.22,2024-07-01 16:00:00+00:00,2024-07-01 18:00:00+02:00,2024-07-01,2024,7,1,18
2024-07-01 17:00,0.0,16.98,2.93,34.91,9164.0,-999.0,2024-07-01 17:00:00+00:00,2024-07-01 19:00:00+02:00,2024-07-01,2024,7,1,19
2024-07-01 18:00,0.0,15.79,2.68,37.35,9168.0,-999.0,2024-07-01 18:00:00+00:00,2024-07-01 20:00:00+02:00,2024-07-01,2024,7,1,20
2024-07-01 19:00,0.0,14.93,2.69,39.4,9173.0,-999.0,2024-07-01 19:00:00+00:00,2024-07-01 21:00:00+02:00,2024-07-01,2024,7,1,21
2024-07-01 20:00,0.0,14.06,2.8,41.89,9177.0,-999.0,2024-07-01 20:00:00+00:00,2024-07-01 22:00:00+02:00,2024-07-01,2024,7,1,22
2024-07-01 21:00,0.0,13.21,2.83,44.49,9182.0,-999.0,2024-07-01 21:00:00+00:00,2024-07-01 23:00:00+02:00,2024-07-01,2024,7,1,23
