time_utc,ghi_wm2,temp_air_c,wind_speed_ms,rel_humidity_pct,pressure_pa,albedo,ts_utc,ts_local,date_local,year_local,month_local,day_local,hour_local
2024-10-20 22:00,0.0,17.42,3.5,27.92,9143.0,-999.0,2024-10-20 22:00:00+00:00,2024-10-21 00:00:00+02:00,2024-10-21,2024,10,21,0
2024-10-20 23:00,0.0,16.6,3.61,29.17,9140.0,-999.0,2024-10-20 23:00:00+00:00,2024-10-21 01:00:00+02:00,2024-10-21,2024,10,21,1
2024-10-21 00:00,0.0,15.89,3.87,30.52,9138.0,-999.0,2024-10-21 00:00:00+00:00,2024-10-21 02:00:00+02:00,2024-10-21,2024,10,21,2
2024-10-21 01:00,0.0,15.23,4.31,32.85,9138.0,-999.0,2024-10-21 01:00:00+00:00,2024-10-21 03:00:00+02:00,2024-10-21,2024,10,21,3
2024-10-21 02:00,0.0,14.52,4.82,39.07,9138.0,-999.0,2024-10-21 02:00:00+00:00,2024-10-21 04:00:00+02:00,2024-10-21,2024,10,21,4
2024-10-21 03:00,0.0,13.85,5.34,50.41,9141.0,-999.0,2024-10-21 03:00:00+00:00,2024-10-21 05:00:00+02:00,2024-10-21,2024,10,21,5
2024-10-21 04:00,0.0,13.19,5.18,62.76,9145.0,-999.0,2024-10-21 04:00:00+00:00,2024-10-21 06:00:00+02:00,2024-10-21,2024,10,21,6
2024-10-21 05:00,98.97,13.21,5.19,67.51,9150.0,0.31,2024-10-21 05:00:00+00:00,2024-10-21 07:00:00+02:00,2024-10-21,2024,10,21,7
2024-10-21 06:00,335.27,15.87,5.43,57.61,9156.0,0.26,2024-10-21 06:00:00+00:00,2024-10-21 08:00:00+02:00,2024-10-21,2024,10,21,8
2024-10-21 07:00,572.15,19.92,4.7,41.07,9157.0,0.24,2024-10-21 07:00:00+00:00,2024-10-21 09:00:00+02:00,2024-10-21,2024,10,21,9
2024-10-21 08:00,780.03,23.44,3.31,27.65,9158.0,0.22,2024-10-21 08:00:00+00:00,2024-10-21 10:00:00+02:00,2024-10-21,2024,10,21,10
2024-10-21 09:00,936.4,25.53,2.38,22.16,9156.0,0.22,2024-10-21 09:00:00+00:00,2024-10-21 11:00:00+02:00,2024-10-21,2024,10,21,11
2024-10-21 10:00,1029.15,26.98,2.13,19.43,9150.0,0.22,2024-10-21 10:00:00+00:00,2024-10-21 12:00:00+02:00,2024-10-21,2024,10,21,12
2024-10-21 11:00,1050.6,28.05,2.95,17.69,9143.0,0.22,2024-10-21 11:00:00+00:00,2024-10-21 13:00:00+02:00,2024-10-21,2024,10,21,13
2024-10-21 12:00,998.92,28.67,4.09,16.68,9135.0,0.22,2024-10-21 12:00:00+00:00,2024-10-21 14:00:00+02:00,2024-10-21,2024,10,21,14
2024-10-21 13:00,876.95,28.76,5.25,16.25,9129.0,0.21,2024-10-21 13:00:00+00:00,2024-10-21 15:00:00+02:00,2024-10-21,2024,10,21,15
2024-10-21 14:00,706.78,28.33,6.29,16.21,9127.0,0.23,2024-10-21 14:00:00+00:00,2024-10-21 16:00:00+02:00,2024-10-21,2024,10,21,16
2024-10-21 15:00,479.58,27.35,7.04,16.52,9128.0,0.23,2024-10-21 15:00:00+00:00,2024-10-21 17:00:00+02:00,2024-10-21,2024,10,21,17
2024-10-21 16:00,233.57,25.92,7.39,16.89,9135.0,0.26,2024-10-21 16:00:00+00:00,2024-10-21 18:00:00+02:00,2024-10-21,2024,10,21,18
2024-10-21 17:00,29.08,23.94,6.62,17.5,9144.0,0.31,2024-10-21 17:00:00+00:00,2024-10-21 19:00:00+02:00,2024-10-21,2024,10,21,19
2024-10-21 18:00,0.0,21.05,4.5,19.36,9152.0,-999.0,2024-10-21 18:00:00+00:00,2024-10-21 20:00:00+02:00,2024-10-21,2024,10,21,20
2024-10-21 19:00,0.0,19.6,4.13,20.29,9160.0,-999.0,2024-10-21 19:00:00+00:00,2024-10-21 21:00:00+02:00,2024-10-21,2024,10,21,21
2024-10-21 20:00,0.0,18.4,4.1,21.67,9166.0,-999.0,2024-10-21 20:00:00+00:00,2024-10-21 22:00:00+02:00,2024-10-21,2024,10,21,22
2024-10-21 21:00,0.0,17.36,4.29,23.22,9170.0,-999.0,2024-10-21 21:00:00+00:00,2024-10-21 23:00:00+02:00,2024-10-21,2024,10,21,23
