delta_deg,E_year_kWh,E_DJF,E_MAM,E_JJA,E_SON
10,551.1920308290717,185.50448551100118,119.44162233662934,83.61592318814517,162.62999979329592
11,551.2950515727589,185.48769155951774,119.49341776409854,83.65657869371533,162.6573635554273
12,551.3359869097181,185.44866401518073,119.53240277671237,83.68512659004652,162.66979352777847
13,551.3087279718235,185.38314395450195,119.55976926895951,83.70181158221689,162.66400316614516
14,551.2111679633094,185.2921943785079,119.57361114047256,83.70731584071804,162.63804660361097
