lcoe,y0_mwh,y0_net_mwh,availability_%,degradation_%,wacc_real,capex_$perkWac,fixed_om_$perkWac_yr,lifetime_y,PAC_kWac,case_label
80.82678460792732,54631.88133755357,54078.869700358075,98.98774923422717,0.5146437906139544,0.05123895809440418,975.3332892345356,13.241873116767993,25,50000.0,WC offpoint
86.88980164962408,54631.88133755357,54261.25290703305,99.32158947953756,0.361525836027909,0.050419181983318725,1099.6911604188417,17.789539557599372,29,50000.0,WC offpoint
100.32008101833296,54631.88133755357,53822.89270660673,98.51920049037238,0.660477030986101,0.06268965871573745,1086.0322829607198,18.12971347044526,28,50000.0,WC offpoint
82.23878694471,54631.88133755357,53838.18708871026,98.54719583252258,0.4459588959174957,0.06319104168912139,950.9286001305943,10.641517228501536,27,50000.0,WC offpoint
57.274303469323634,54631.88133755357,53654.62839809729,98.21120394258777,0.19490397081471,0.04964912846623288,700.0,12.636212707765168,27,50000.0,WC offpoint
65.39622333632657,54631.88133755357,53592.80843396705,98.09804663843369,0.46098235554773387,0.05096837323069951,817.3073245741632,12.942587565099899,30,50000.0,WC offpoint
96.16947274807576,54631.88133755357,53410.49908029231,97.76434157609415,0.5382979588736428,0.0604113083821804,1041.6000934861388,16.096265959425537,25,50000.0,WC offpoint
73.73166242053084,54631.88133755357,53132.06161134507,97.25468043660884,0.3362988604694629,0.04672415759265339,763.9698295657656,26.923477286455373,29,50000.0,WC offpoint
74.64606292754219,54631.88133755357,53505.39525072429,97.93804266071477,0.47636393897805307,0.050894660119849854,910.796889369566,12.334064671882762,26,50000.0,WC offpoint
83.52496853537336,54631.88133755357,54207.52398926164,99.2232422938724,0.48570343267017957,0.05589592767368435,990.6176736426839,12.11521083432106,25,50000.0,WC offpoint
97.33005974121652,54631.88133755357,53626.909549081625,98.16046644584226,0.48881842114483615,0.06495938684822258,1126.348483491381,11.33429852428078,28,50000.0,WC offpoint
77.59322048012136,54631.88133755357,53661.17390414507,98.22318505304477,0.746928373943091,0.048954013838204594,880.9976364254703,20.17772285621116,30,50000.0,WC offpoint
63.32105039430254,54631.88133755357,53652.66596499872,98.20761184022828,0.23768842776305765,0.036576155379693276,872.7814749100245,16.79329201822449,29,50000.0,WC offpoint
66.64332955299554,54631.88133755357,54356.408889488004,99.49576613266619,0.9067604918371129,0.035834025324817886,943.7065080205399,12.518867259150207,29,50000.0,WC offpoint
74.41601875796306,54631.88133755357,53406.648826057295,97.75729394357494,0.4934329359617584,0.04240586933293867,992.1095563772122,15.186022081108339,29,50000.0,WC offpoint
68.57180600810014,54631.88133755357,53933.49067834703,98.721642670712,0.6160422467904925,0.041868322818000625,931.4903807124687,13.042448495211493,29,50000.0,WC offpoint
91.59044983034248,54631.88133755357,53782.4796480115,98.44522709314387,0.525567253307571,0.05345389241380091,1075.9122018662972,18.479456405946227,28,50000.0,WC offpoint
81.94111123432992,54631.88133755357,53842.090879475974,98.55434146007582,0.15479528564696182,0.04311119846402395,854.1027400365833,30.42188303398168,25,50000.0,WC offpoint
77.58654316059607,54631.88133755357,53919.197697061216,98.69548032569317,0.2886844690028249,0.04797245040178796,964.4193120054853,19.754322028461182,30,50000.0,WC offpoint
80.3292067251287,54631.88133755357,53837.38734335741,98.54573195221445,0.3951448240724421,0.047259141150179505,1003.4255252296423,16.535057424463183,27,50000.0,WC offpoint
73.97222678056416,54631.88133755357,54158.99733836704,99.13441750932074,0.698743963623393,0.05059492139152007,901.9720628112972,13.675122562560237,28,50000.0,WC offpoint
91.51375032340607,54631.88133755357,53799.61605453407,98.47659413762966,0.22313577285005717,0.06822504331523123,1050.765192387196,10.282999590575752,27,50000.0,WC offpoint
91.28164447890549,54631.88133755357,54358.7219308658,99.5,0.3288525145917835,0.061619475894305165,967.875024949082,20.668448657015176,26,50000.0,WC offpoint
90.76292610560365,54631.88133755357,53831.84329947057,98.53558395117348,0.5329701680556512,0.05516129415276004,1044.661485578273,20.3967708918316,30,50000.0,WC offpoint
79.46545892767085,54631.88133755357,53067.894312748904,97.13722649391978,0.5945712895565873,0.05038973719419162,973.2924929658599,14.66949501654597,29,50000.0,WC offpoint
88.69904298661685,54631.88133755357,54091.37988343138,99.01064828651498,0.5885441753663002,0.05066767343376979,995.1685485784674,23.066669914713092,28,50000.0,WC offpoint
78.32860939919601,54631.88133755357,53983.77100659256,98.81367744420783,0.3031989772552569,0.0582774646995195,874.1129891780773,17.105534694425423,27,50000.0,WC offpoint
81.12718506019834,54631.88133755357,53826.62708799702,98.52603602540954,0.18040172796173165,0.0608416907335229,874.3073953770532,20.873803676975676,29,50000.0,WC offpoint
88.20918961880862,54631.88133755357,53698.95616298109,98.29234294750309,0.6078119286426065,0.045923824938993996,1096.9275775914532,18.480985010165057,28,50000.0,WC offpoint
92.04450693259989,54631.88133755357,52888.19817418659,96.80830474683218,0.7866247883079458,0.055364807556142315,1026.2612533424399,16.11432060061181,27,50000.0,WC offpoint
59.26866252052024,54631.88133755357,52961.525087150905,96.94252475018746,0.43093967692486285,0.03468380431336973,827.2441800533118,12.225576943462565,27,50000.0,WC offpoint
83.89820680695468,54631.88133755357,54358.7219308658,99.5,0.27106270310319347,0.05711713784170597,971.7036109585798,16.272317038186642,26,50000.0,WC offpoint
74.9082444119846,54631.88133755357,53556.50624760742,98.03159791752049,0.41402393550703137,0.06262149241958687,700.0,21.210253344474236,25,50000.0,WC offpoint
73.35013714751136,54631.88133755357,54234.43240241146,99.27249634204176,0.578812514676946,0.052199313731191244,881.12718035607,14.459324440502865,28,50000.0,WC offpoint
