lcoe,y0_mwh,y0_net_mwh,availability_%,degradation_%,wacc_real,capex_$perkWac,fixed_om_$perkWac_yr,lifetime_y,PAC_kWac,case_label
72.33402428567412,61046.22754233831,60428.286636565565,98.98774923422717,0.5146437906139544,0.05123895809440418,975.3332892345356,13.241873116767993,25,50000.0,NC offpoint
77.7599783684193,61046.22754233831,60632.08351234565,99.32158947953756,0.361525836027909,0.050419181983318725,1099.6911604188417,17.789539557599372,29,50000.0,NC offpoint
89.77909008654518,61046.22754233831,60142.255304245205,98.51920049037238,0.660477030986101,0.06268965871573745,1086.0322829607198,18.12971347044526,28,50000.0,NC offpoint
73.59766246967094,61046.22754233831,60159.345404515465,98.54719583252258,0.4459588959174957,0.06319104168912139,950.9286001305943,10.641517228501536,27,50000.0,NC offpoint
51.25628686321389,61046.22754233831,59954.235030862066,98.21120394258777,0.19490397081471,0.04964912846623288,700.0,12.636212707765168,27,50000.0,NC offpoint
58.524807462615186,61046.22754233831,59885.15676548739,98.09804663843369,0.46098235554773387,0.05096837323069951,817.3073245741632,12.942587565099899,30,50000.0,NC offpoint
86.0646011225532,61046.22754233831,59681.442413811295,97.76434157609415,0.5382979588736428,0.0604113083821804,1041.6000934861388,16.096265959425537,25,50000.0,NC offpoint
65.98441204880893,61046.22754233831,59370.313514906215,97.25468043660884,0.3362988604694629,0.04672415759265339,763.9698295657656,26.923477286455373,29,50000.0,NC offpoint
66.80273321303476,61046.22754233831,59787.48037317231,97.93804266071477,0.47636393897805307,0.050894660119849854,910.796889369566,12.334064671882762,26,50000.0,NC offpoint
74.74870034487681,61046.22754233831,60572.046265603014,99.2232422938724,0.48570343267017957,0.05589592767368435,990.6176736426839,12.11521083432106,25,50000.0,NC offpoint
87.10324107532013,61046.22754233831,59923.26170314951,98.16046644584226,0.48881842114483615,0.06495938684822258,1126.348483491381,11.33429852428078,28,50000.0,NC offpoint
69.44022234508496,61046.22754233831,59961.54904681374,98.22318505304477,0.746928373943091,0.048954013838204594,880.9976364254703,20.17772285621116,30,50000.0,NC offpoint
56.66768038879343,61046.22754233831,59952.042187882136,98.20761184022828,0.23768842776305765,0.036576155379693276,872.7814749100245,16.79329201822449,29,50000.0,NC offpoint
59.640875753602245,61046.22754233831,60738.41178834018,99.49576613266619,0.9067604918371129,0.035834025324817886,943.7065080205399,12.518867259150207,29,50000.0,NC offpoint
66.59686060991399,61046.22754233831,59677.14010002726,97.75729394357494,0.4934329359617584,0.04240586933293867,992.1095563772122,15.186022081108339,29,50000.0,NC offpoint
61.3667202668356,61046.22754233831,60265.838618297,98.721642670712,0.6160422467904925,0.041868322818000625,931.4903807124687,13.042448495211493,29,50000.0,NC offpoint
81.96671257554932,61046.22754233831,60097.09733585229,98.44522709314387,0.525567253307571,0.05345389241380091,1075.9122018662972,18.479456405946227,28,50000.0,NC offpoint
73.3312646144509,61046.22754233831,60163.70754057095,98.55434146007582,0.15479528564696182,0.04311119846402395,854.1027400365833,30.42188303398168,25,50000.0,NC offpoint
69.43424663548512,61046.22754233831,60249.867493626385,98.69548032569317,0.2886844690028249,0.04797245040178796,964.4193120054853,19.754322028461182,30,50000.0,NC offpoint
71.8887286966814,61046.22754233831,60158.45176081162,98.54573195221445,0.3951448240724421,0.047259141150179505,1003.4255252296423,16.535057424463183,27,50000.0,NC offpoint
66.19969944821898,61046.22754233831,60517.82208551161,99.13441750932074,0.698743963623393,0.05059492139152007,901.9720628112972,13.675122562560237,28,50000.0,NC offpoint
81.89807216105858,61046.22754233831,60116.24573320239,98.47659413762966,0.22313577285005717,0.06822504331523123,1050.765192387196,10.282999590575752,27,50000.0,NC offpoint
81.69035451059914,61046.22754233831,60740.99640462662,99.5,0.3288525145917835,0.061619475894305165,967.875024949082,20.668448657015176,26,50000.0,NC offpoint
81.22613973830744,61046.22754233831,60152.25678900515,98.53558395117348,0.5329701680556512,0.05516129415276004,1044.661485578273,20.3967708918316,30,50000.0,NC offpoint
71.11573798003867,61046.22754233831,59298.6123137948,97.13722649391978,0.5945712895565873,0.05038973719419162,973.2924929658599,14.66949501654597,29,50000.0,NC offpoint
79.37911622530052,61046.22754233831,60442.265644130224,99.01064828651498,0.5885441753663002,0.05066767343376979,995.1685485784674,23.066669914713092,28,50000.0,NC offpoint
70.09834131133843,61046.22754233831,60322.02237554334,98.81367744420783,0.3031989772552569,0.0582774646995195,874.1129891780773,17.105534694425423,27,50000.0,NC offpoint
72.60286058437636,61046.22754233831,60146.428140517724,98.52603602540954,0.18040172796173165,0.0608416907335229,874.3073953770532,20.873803676975676,29,50000.0,NC offpoint
78.94073350878722,61046.22754233831,60003.76733242826,98.29234294750309,0.6078119286426065,0.045923824938993996,1096.9275775914532,18.480985010165057,28,50000.0,NC offpoint
82.37306026859545,61046.22754233831,59097.81799563147,96.80830474683218,0.7866247883079458,0.055364807556142315,1026.2612533424399,16.11432060061181,27,50000.0,NC offpoint
53.04109145173469,61046.22754233831,59179.75424428707,96.94252475018746,0.43093967692486285,0.03468380431336973,827.2441800533118,12.225576943462565,27,50000.0,NC offpoint
75.08272113182099,61046.22754233831,60740.99640462662,99.5,0.27106270310319347,0.05711713784170597,971.7036109585798,16.272317038186642,26,50000.0,NC offpoint
67.03736634801479,61046.22754233831,59844.59232811974,98.03159791752049,0.41402393550703137,0.06262149241958687,700.0,21.210253344474236,25,50000.0,NC offpoint
65.64297500540732,61046.22754233831,60602.11400392229,99.27249634204176,0.578812514676946,0.052199313731191244,881.12718035607,14.459324440502865,28,50000.0,NC offpoint
