offset_deg,e_day_Wh
-22,1475.1853543396924
-21,1485.112942583014
-20,1495.4424267017698
-19,1505.5630417709067
-18,1515.364940969147
-17,1524.8470074336392
-16,1534.008306778836
-15,1543.3573193817151
-14,1552.380617790618
-13,1561.0468289466014
-12,1569.3556110179104
-11,1577.306707547744
-10,1584.899936316257
-9,1592.1351795912033
-8,1599.012375508267
-7,1605.5315103840467
-6,1611.6926118101796
-5,1617.4957424109973
-4,1622.9409941726153
-3,1628.0284832708178
-2,1632.8003753332437
-1,1637.224952346945
0,1641.2585769703726
1,1644.6427559893857
2,1647.7025982191117
3,1650.4381644132745
4,1652.849511026851
5,1654.9366932121666
6,1656.6997640541672
7,1658.2625444885568
8,1659.6441750514837
9,1660.7458911327071
10,1661.567802525999
11,1662.2719565375244
12,1662.9468146192248
13,1663.3720218320173
14,1663.5477039417842
15,1663.473985485855
16,1663.150989110784
17,1662.5788350462014
18,1661.7576407144857
19,1660.6875204758476
20,1659.368585508365
21,1657.800943822409
22,1655.991307920389
