offset_deg,e_day_Wh
-22,2179.361033094667
-21,2190.108174625606
-20,2200.42467796536
-19,2210.3125258424157
-18,2219.7736920297957
-17,2228.810134385929
-16,2237.423788159147
-15,2245.6165595555954
-14,2253.390319570744
-13,2260.7468980849453
-12,2267.688078223703
-11,2274.21559098347
-10,2280.3311101238946
-9,2286.036247327515
-8,2291.3325476279015
-7,2301.342998880157
-6,2315.738320496867
-5,2329.53253524065
-4,2342.7090624636758
-3,2355.25647035686
-2,2367.1664757890503
-1,2378.432875912875
0,2389.0509235771638
1,2398.9529712198982
2,2408.2757126723754
3,2417.0168364835827
4,2425.174552505426
5,2432.7474982216854
6,2439.734667746423
7,2446.135356692261
8,2451.9491184304406
9,2457.1757287122973
10,2461.8581803254965
11,2466.78433813081
12,2471.2097807257965
13,2475.1351551709686
14,2478.561243131353
15,2481.1166004939532
16,2482.9037507516996
17,2484.2527970042365
18,2485.1645659329592
19,2485.639981090181
20,2485.680054934277
21,2485.285881526227
22,2484.4586298147874
