offset_deg,e_day_Wh
-22,1832.365702503472
-21,1838.6304270838875
-20,1844.614824561264
-19,1850.3213669400288
-18,1855.752467290938
-17,1861.0114186762619
-16,1866.5173527913025
-15,1871.7187271808339
-14,1876.617918888111
-13,1885.2618829361088
-12,1895.5332545768265
-11,1905.725826964278
-10,1915.5072967829012
-9,1924.874923934117
-8,1933.826769755241
-7,1942.361478468793
-6,1950.4781279873832
-5,1958.176124060526
-4,1965.4551226696512
-3,1972.314971497526
-2,1978.794464800237
-1,1984.8723166036027
0,1990.498350901921
1,1995.2680645348303
2,1999.6298492389242
3,2003.6142948431584
4,2007.23829405023
5,2010.501856844051
6,2013.426197572059
7,2016.1857188760428
8,2018.61051120802
9,2020.7006606353116
10,2022.4562460928287
11,2023.8773338240783
12,2024.9639724143103
13,2025.7161883580868
14,2026.1339821151194
15,2026.342510727212
16,2026.565972667304
17,2026.4923268421894
18,2026.1217150788975
19,2025.4542567947099
20,2024.861174506409
21,2024.1729765294335
22,2023.2186592001117
