offset_deg,e_day_Wh
-22,436.2162515431652
-21,436.05798362660323
-20,435.8586370328111
-19,435.6208863142757
-18,435.37145586104987
-17,435.0716438224784
-16,434.7215385120238
-15,434.32124257036793
-14,433.8708729371675
-13,433.37056082046934
-12,432.82072106537515
-11,432.2220300684484
-10,431.57371731289976
-9,430.87597043912547
-8,430.12899121838996
-7,429.33299550803156
-6,428.4882132042128
-5,427.59488819219507
-4,426.65303120489295
-3,425.6618595804812
-2,424.62171923200236
-1,423.52315510293306
0,422.366484059384
1,421.4033050836106
2,420.3857646019005
3,419.3141502664949
4,418.3594432511416
5,417.43259702995397
6,416.45614940559153
7,415.4303729681325
8,414.355554393583
9,413.23199439880875
10,412.06000769396996
11,410.83992293240726
12,409.57208265792684
13,408.2568432494309
14,406.8945748628387
15,405.4856613702405
16,404.103192166118
17,402.94576660912776
18,401.7667012970845
19,400.55662268412766
20,399.31587024733994
21,398.146941383234
22,397.22588138171545
