offset_deg,e_day_Wh
-22,513.9947020054746
-21,515.5773193674487
-20,517.1832884755155
-19,518.7090947890974
-18,520.1542517973666
-17,521.5183026844973
-16,522.8008197841511
-15,524.0014041031818
-14,525.1196849029961
-13,526.1553193291534
-12,527.1079920814859
-11,527.9774151183778
-10,528.763327389931
-9,529.465494595626
-8,530.0837089628063
-7,530.6177890428932
-6,531.0675795227273
-5,531.4329510488296
-4,531.7138000626983
-3,531.9191049937717
-2,532.0472756183473
-1,532.0758854712477
0,532.0049322926454
1,532.1892490740522
2,532.2914436692229
3,532.3115047138676
4,532.2494396964906
5,532.1052778934816
6,531.8790710228591
7,531.5708934680708
8,531.1808423517239
9,530.7090375429053
10,530.1556216307432
11,529.5207598791303
12,528.8046401702004
13,528.3454088908479
14,527.8471063718168
15,527.2790583455154
16,526.6414384017311
17,525.9344392413676
18,525.4389464345925
19,524.9845512939572
20,524.5379922349797
21,524.0314703660438
22,523.4651354117809
