offset_deg,e_day_Wh
-22,978.7495579024192
-21,983.9540034750966
-20,988.9730035683291
-19,993.8064718723092
-18,998.4543968956174
-17,1002.9204953972956
-16,1007.2006821125208
-15,1011.62798746304
-14,1015.9115032649643
-13,1019.9825505646239
-12,1023.8413100632933
-11,1027.4879945730424
-10,1030.9228465895515
-9,1034.1461359698349
-8,1037.158157711051
-7,1039.9592298273565
-6,1042.5767842423775
-5,1045.1331758088204
-4,1047.448827647956
-3,1049.5241368516863
-2,1051.3595130379174
-1,1052.9552042260311
0,1054.3104436085148
1,1055.4877311504008
2,1056.4626823517397
3,1057.2356892554267
4,1057.8071546364597
5,1058.177491021425
6,1058.347119788916
7,1058.6031894416747
8,1058.692185781129
9,1058.5975637625736
10,1058.3197049804871
11,1057.8589930791222
12,1057.2158133049193
13,1056.3905521378206
14,1055.5625532591894
15,1054.804230160833
16,1053.8930855107283
17,1052.8295190520794
18,1051.6139305748322
19,1050.2467198109712
20,1048.7282863950873
21,1047.0590298897207
22,1045.2393498749275
