offset_deg,e_day_Wh
-22,850.6482946548595
-21,856.9050264061365
-20,862.9988792340159
-19,868.9278925414527
-18,874.6902820594133
-17,880.4056402030265
-16,886.2609854312923
-15,891.9188273977006
-14,897.3778351623057
-13,902.6367779011871
-12,907.6945168656888
-11,912.549998655131
-10,917.2022495164462
-9,921.6503704572254
-8,925.893533010978
-7,929.9309755314557
-6,933.9162287958884
-5,937.7076057704761
-4,941.2620220611253
-3,944.5789410552686
-2,947.6578824457844
-1,950.4984202541061
0,953.1001810256091
1,955.352020696562
2,957.4030227049709
3,959.365308878215
4,961.2444848391306
5,962.9372794333834
6,964.4435152961953
7,965.7630526253229
8,966.8957885129477
9,967.8416562547565
10,968.6006246760778
11,969.4646228315343
12,970.2087266179628
13,970.795872951571
14,971.2261329758812
15,971.4996074795525
16,971.6164263707481
17,971.5767481910298
18,971.3807596684892
19,971.0286753097566
20,970.5207370305228
21,969.9364974344795
22,969.6892552829781
