offset_deg,e_day_Wh
-22,1224.464997109722
-21,1231.4512359804496
-20,1238.1931221243249
-19,1244.6908833588432
-18,1250.9447947754143
-17,1256.955174508741
-16,1262.7223796865558
-15,1268.2468025472517
-14,1273.5288667154236
-13,1278.569023627298
-12,1283.3677490996592
-11,1287.925540037189
-10,1292.5979974078773
-9,1297.000882275172
-8,1301.3823395839954
-7,1305.5112645801553
-6,1309.3376994339983
-5,1312.8622248328954
-4,1316.0854209012753
-3,1319.007864750945
-2,1321.630128182745
-1,1323.952739384993
0,1325.9752362505267
1,1327.68419115558
2,1329.147248832749
3,1330.364874601015
4,1331.3375269515475
5,1332.0656563346215
6,1332.5497040695604
7,1332.790101377815
8,1332.7872685392365
9,1332.54161417152
10,1332.0535346327435
11,1331.323413546831
12,1330.3516214516974
13,1329.3941564493819
14,1328.3532934643417
15,1327.4721865032475
16,1326.4765588257596
17,1325.3048806849338
18,1323.9574970781046
19,1322.4347426255417
20,1320.7369416995953
21,1318.8644086424158
22,1316.597293897671
