offset_deg,e_day_Wh
-22,1407.6359201474831
-21,1412.6226413917225
-20,1417.377245971036
-19,1421.902067594811
-18,1426.1993817854473
-17,1430.2714016208552
-16,1439.1228349998278
-15,1447.7319685333964
-14,1456.0233096329125
-13,1463.995634766296
-12,1471.6483463811005
-11,1479.3018847258438
-10,1486.6510154978923
-9,1493.6511788567964
-8,1500.3032573805274
-7,1506.6083133508018
-6,1512.5675527338688
-5,1518.3199965426668
-4,1523.7333587968005
-3,1528.7763726438889
-2,1533.4506207083657
-1,1537.757709985266
0,1541.6992583807958
1,1545.1072100581418
2,1548.2043100556411
3,1550.9918206586149
4,1553.4710012497594
5,1555.6570646813602
6,1557.6097443166022
7,1559.2842791319645
8,1560.6819726808437
9,1561.8041230097278
10,1562.6520174963111
11,1563.28669818029
12,1563.674101739053
13,1563.796887019078
14,1563.6562287364318
15,1563.3426870507658
16,1563.1349075619496
17,1562.6978431996454
18,1562.0325977737511
19,1561.1402344718952
20,1560.0217735806427
21,1559.1013432462441
22,1558.0786370492635
