offset_deg,e_day_Wh
-22,1392.8394617630086
-21,1399.6303196991673
-20,1406.1576737012217
-19,1412.4225723143015
-18,1418.4260735449852
-17,1424.1692407392247
-16,1429.6531385978433
-15,1434.878829330877
-14,1439.8473689520874
-13,1444.5598037149803
-12,1449.4438638967379
-11,1454.0561502182763
-10,1458.3828114152552
-9,1462.4248746558596
-8,1466.183337884419
-7,1469.659166941168
-6,1472.9654099672891
-5,1476.0714504008595
-4,1478.8630243772832
-3,1481.3409785483527
-2,1483.5061100024463
-1,1485.3591643200766
0,1486.9008338211886
1,1488.1490323050148
2,1489.0912297236864
3,1489.7838257777037
4,1490.2272714095063
5,1490.4219698671623
6,1490.3682760626928
7,1490.0664960884365
8,1489.5168868911799
9,1488.5926838565529
10,1486.9327781485845
11,1485.068202621237
12,1483.2999281284901
13,1481.405580466781
14,1479.3378651899259
15,1477.0964470585388
16,1474.6809661852126
17,1472.24822957152
18,1470.0272354053109
19,1467.668612802777
20,1465.1720661037182
21,1462.5372895237106
22,1459.7639684951632
