offset_deg,e_day_Wh
-22,1810.3003981225647
-21,1819.8539738740878
-20,1829.074941392335
-19,1838.4234412805308
-18,1847.6305830277236
-17,1856.4770647715036
-16,1864.9651881415266
-15,1873.0972584007131
-14,1880.875574028802
-13,1888.3024170566455
-12,1895.3800440590035
-11,1902.1106777328378
-10,1908.514831668363
-9,1914.8871627251156
-8,1920.8865223582952
-7,1926.5150810696096
-6,1931.77492431784
-5,1936.6680464727842
-4,1941.3286275223716
-3,1945.616630100777
-2,1949.5118096546153
-1,1953.0157902116414
0,1956.1300638226899
1,1958.6494919739673
2,1960.843108464047
3,1962.711857340709
4,1964.2565472678575
5,1965.4778609704113
6,1966.3763560747875
7,1966.9524645588674
8,1967.3011568612228
9,1967.4308412186506
10,1967.271860295882
11,1966.8446242399655
12,1966.1467707269594
13,1965.4937168379056
14,1964.6243060809338
15,1963.5062010425613
16,1962.1390833905666
17,1960.5225374846523
18,1958.656051128723
19,1956.5390165642323
20,1954.170731705808
21,1951.550401619988
22,1949.277902718164
