offset_deg,e_day_Wh
-22,1434.5288216671372
-21,1443.2188398297708
-20,1452.1070196161568
-19,1460.6947568300552
-18,1468.9826614320132
-17,1476.9714749410696
-16,1484.662047466279
-15,1492.055318429817
-14,1499.1523001178216
-13,1505.9540634354662
-12,1512.5933204497683
-11,1519.1461190908726
-10,1525.3793715084912
-9,1531.2951852211631
-8,1536.8945851356143
-7,1542.178285359049
-6,1547.1475822279049
-5,1551.8037476233476
-4,1556.2191659677055
-3,1560.361531629072
-2,1564.1662471475574
-1,1567.6344657568443
0,1570.7672773711356
1,1573.386871887046
2,1575.8312474692984
3,1578.0089876551965
4,1579.9206360300923
5,1581.5667749299537
6,1582.947920933452
7,1584.0645233055825
8,1584.9855853649906
9,1585.7724854762419
10,1586.3279567836212
11,1586.652303339828
12,1586.7457736685024
13,1586.608559724758
14,1586.2407960508433
15,1585.642559130302
16,1584.990067545657
17,1584.3862606966923
18,1583.580864535741
19,1582.5738301331016
20,1581.3650547121385
21,1579.954381884153
22,1578.341602070027
