offset_deg,e_day_Wh
-22,1534.2392720644325
-21,1543.4529954611894
-20,1553.0480863490498
-19,1562.3294178743959
-18,1571.2858812714712
-17,1579.91850049388
-16,1588.2283850319204
-15,1596.2167144490286
-14,1603.8847247724507
-13,1611.2336963762048
-12,1618.406208288136
-11,1625.4248970243307
-10,1632.103654730981
-9,1638.4450566767991
-8,1644.4491927429658
-7,1650.1175709016225
-6,1655.4516676469311
-5,1660.4529215830225
-4,1665.1651930206867
-3,1669.6082740146853
-2,1673.6957102325982
-1,1677.428777651768
0,1680.8086725151004
1,1683.6399735629454
2,1686.255917533751
3,1688.613264479401
4,1690.6929488712187
5,1692.4955890838312
6,1694.0217230829937
7,1695.2718070691158
8,1696.246213933051
9,1697.1432270005641
10,1697.8123169198695
11,1698.2416411646545
12,1698.431380803881
13,1698.3816464300921
14,1698.0924774043856
15,1697.5638413109214
16,1696.92092378265
17,1696.3986162490312
18,1695.6681544845028
19,1694.7293346718595
20,1693.5818866974685
21,1692.225474547967
22,1690.6596969078732
