time_utc,ghi_wm2,temp_air_c,wind_speed_ms,rel_humidity_pct,pressure_pa,albedo,date_local
2024-06-08 22:00,0.0,7.82,3.11,43.38,9272.0,-999.0,2024-06-09
2024-06-08 23:00,0.0,7.22,3.29,46.5,9270.0,-999.0,2024-06-09
2024-06-09 00:00,0.0,6.7,3.52,49.84,9268.0,-999.0,2024-06-09
2024-06-09 01:00,0.0,6.31,3.7,53.05,9266.0,-999.0,2024-06-09
2024-06-09 02:00,0.0,6.03,3.9,55.49,9263.0,-999.0,2024-06-09
2024-06-09 03:00,0.0,5.79,4.18,57.22,9262.0,-999.0,2024-06-09
2024-06-09 04:00,0.0,5.57,4.55,58.77,9265.0,-999.0,2024-06-09
2024-06-09 05:00,0.0,5.33,4.93,60.46,9271.0,-999.0,2024-06-09
2024-06-09 06:00,16.15,5.3,5.38,61.46,9276.0,0.3,2024-06-09
2024-06-09 07:00,174.05,7.38,6.56,53.99,9282.0,0.25,2024-06-09
2024-06-09 08:00,359.42,10.86,6.81,43.73,9285.0,0.23,2024-06-09
2024-06-09 09:00,508.8,14.94,8.81,37.33,9286.0,0.22,2024-06-09
2024-06-09 10:00,605.72,18.02,9.57,34.55,9283.0,0.21,2024-06-09
2024-06-09 11:00,637.22,19.67,8.88,31.46,9276.0,0.21,2024-06-09
2024-06-09 12:00,610.45,20.56,8.12,29.01,9267.0,0.21,2024-06-09
2024-06-09 13:00,521.45,20.9,7.59,27.2,9260.0,0.21,2024-06-09
2024-06-09 14:00,376.58,20.67,7.19,26.36,9256.0,0.23,2024-06-09
2024-06-09 15:00,194.68,19.68,6.35,27.31,9254.0,0.24,2024-06-09
2024-06-09 16:00,25.23,15.49,3.8,35.24,9254.0,0.29,2024-06-09
2024-06-09 17:00,0.0,12.82,3.81,41.71,9257.0,-999.0,2024-06-09
2024-06-09 18:00,0.0,11.97,3.88,44.34,9261.0,-999.0,2024-06-09
2024-06-09 19:00,0.0,11.24,4.0,46.88,9264.0,-999.0,2024-06-09
2024-06-09 20:00,0.0,10.74,4.33,48.7,9265.0,-999.0,2024-06-09
2024-06-09 21:00,0.0,10.4,4.85,49.93,9264.0,-999.0,2024-06-09
