time_utc,ghi_wm2,temp_air_c,wind_speed_ms,rel_humidity_pct,pressure_pa,albedo,date_local
2024-06-27 22:00,0.0,12.26,4.7,56.28,9265.0,-999.0,2024-06-28
2024-06-27 23:00,0.0,11.96,4.93,58.33,9261.0,-999.0,2024-06-28
2024-06-28 00:00,0.0,11.62,5.12,60.06,9257.0,-999.0,2024-06-28
2024-06-28 01:00,0.0,11.65,5.53,60.44,9251.0,-999.0,2024-06-28
2024-06-28 02:00,0.0,11.37,5.61,62.31,9246.0,-999.0,2024-06-28
2024-06-28 03:00,0.0,10.93,5.6,64.81,9243.0,-999.0,2024-06-28
2024-06-28 04:00,0.0,10.78,6.06,65.91,9242.0,-999.0,2024-06-28
2024-06-28 05:00,0.0,10.19,6.1,68.57,9244.0,-999.0,2024-06-28
2024-06-28 06:00,5.68,9.87,6.38,69.84,9247.0,0.21,2024-06-28
2024-06-28 07:00,82.53,11.44,7.43,62.59,9250.0,0.2,2024-06-28
2024-06-28 08:00,200.62,14.85,7.68,49.56,9250.0,0.2,2024-06-28
2024-06-28 09:00,304.75,18.63,8.66,37.87,9247.0,0.2,2024-06-28
2024-06-28 10:00,382.77,21.25,9.5,29.94,9238.0,0.2,2024-06-28
2024-06-28 11:00,444.33,22.43,9.31,27.39,9227.0,0.2,2024-06-28
2024-06-28 12:00,493.12,22.92,8.88,26.51,9216.0,0.22,2024-06-28
2024-06-28 13:00,466.5,22.91,8.21,26.34,9208.0,0.22,2024-06-28
2024-06-28 14:00,283.08,22.61,7.47,26.65,9203.0,0.23,2024-06-28
2024-06-28 15:00,132.52,21.8,6.52,27.82,9202.0,0.23,2024-06-28
2024-06-28 16:00,17.08,18.68,3.94,33.81,9202.0,0.24,2024-06-28
2024-06-28 17:00,0.0,16.52,3.86,39.39,9204.0,-999.0,2024-06-28
2024-06-28 18:00,0.0,15.9,4.3,42.13,9207.0,-999.0,2024-06-28
2024-06-28 19:00,0.0,15.4,4.93,45.02,9209.0,-999.0,2024-06-28
2024-06-28 20:00,0.0,15.02,5.62,47.86,9209.0,-999.0,2024-06-28
2024-06-28 21:00,0.0,14.69,6.37,50.55,9208.0,-999.0,2024-06-28
